baseMean	log2FoldChange	lfcSE	pvalue	padj
Agps	5739.72561150346	-2.44410208535489	0.0744507023858011	1.81054359213398e-237	1.92070087595013e-235
Sdsl	78.3833030420817	-2.43343732042588	0.555183739650457	3.39885456227526e-07	1.01462252010101e-06
Tmem53	81.0614743536679	-2.43063867324651	0.575484070470826	6.70403652496674e-07	1.94875339194159e-06
Pgd	6807.07917531758	-2.43007719618591	0.0684522916793586	3.76022915512394e-277	4.92150512017391e-275
Ccr2	2138.27498168125	-2.42723732156379	0.110145872355904	9.59171070405621e-109	3.77598673732338e-107
Zfp111	150.147239747375	-2.42687247944126	0.385695687924455	1.35689045157792e-11	5.95071452175906e-11
Retsat	1083.71720333846	-2.410224846624	0.144988463291625	3.3086349641551e-63	7.14013344084692e-62
Klhl23	552.635610900293	-2.39721995842471	0.229435405466432	8.99988566078118e-27	8.49258873495812e-26
Trem2	61.8160182099213	-2.3904065990332	0.652420074091348	6.05219341964253e-06	1.60257502057692e-05
Slpi	2432.19251698575	-2.38380762121431	0.114784765912779	5.9684762651501e-97	2.05994191096516e-95
Prodh	724.702243469782	-2.3794468446576	0.180565005519553	7.55843693211865e-41	1.09131701148842e-39
Slc46a1	109.198675586293	-2.37544529961762	0.506617515710002	8.415255020196e-08	2.65942113808515e-07
B4galt4	1106.27785955661	-2.37509753656724	0.141620720962144	2.68680075642566e-64	5.92507177751812e-63
Muc13	546.138566367661	-2.3607565093522	0.199535521980173	1.62918633219841e-33	1.92484640749069e-32
Lst1	140.349261351501	-2.34367799611156	0.400432859762973	1.81725006648678e-10	7.30524378542233e-10
Pgam1	446.425858097483	-2.34328810459798	0.22081872758846	1.49067378997278e-27	1.44730351207569e-26
Wfdc21	229.69494038437	-2.34053542323567	0.316872162821542	6.92291097038053e-15	3.79799111374496e-14
Prkar2b	2396.89925701247	-2.33801629060231	0.0964102159406694	4.35108234309463e-131	2.11836752916462e-129
Nostrin	56.508453668587	-2.33784492132162	0.670899067811122	1.16635646969785e-05	2.99097722687404e-05
Serpinb1a	6911.593644338	-2.33494907668556	0.0601532447677309	0	0
