24h_1	24h_2	72h_1	72h_2	proB_1	proB_2
Ocel1	587.7	610	581.9	531.7	620.9	565.2
Dyrk1b	549.6	586.6	251.5	393.6	571.2	464.1
Braf	1225.5	1385	1180.5	1288.7	1534.2	1547
Ndufb2	1064.9	962.4	1077.5	1079.1	1050.1	1048.8
Hltf	2077.9	2085	2095.7	2075	1910.5	1752.9
Prpf6	3569.9	3560.9	3476.7	3535	3075.7	3088
Rgs19	2357.3	2294.9	2654.4	2472.5	1880.5	2035.5
Snrpd1	4998.7	4406.1	5713.4	4968.6	5359.4	5462.1
Tchp	800.3	740.3	791.7	724.6	675.9	727.2
Tiam1	1523.6	1549	2350	1892.8	4572.6	3980.9
Tsc2	3283	3594.6	2969	3424.3	2691.1	2868.7
Slc9a3r2	369.5	494.8	207	364.3	20.7	37.8
Puf60	5562.3	5610.2	6273.1	6317	6540.2	6997
Golga2	2795.5	3001.4	2792.7	2915.1	2449.6	2520.3
Uck1	1412.2	1437.5	1286.4	1374.8	1510.4	1503.2
Scin	16.7	15.9	38.1	29.4	122.3	196.1
Ikzf4	272	317.7	247.8	359.4	421.9	466.5
Mien1	957.2	903.3	934.6	932.2	845.9	894.1
Tgfb1	9277	8815.9	8776.2	7401	9522.6	9011.8
Ccdc97	2243.1	2179.6	1942.5	2007.4	2365.6	2201.2
Zfp40	499.5	541.6	392.6	397.6	476.9	478.7
Akap8l	2308.1	2420.4	1967.6	2025	1841.1	1722.5
Pdcd2l	800.3	844.3	796.3	798.1	820	738.2
Gtf2f1	3904.1	3862.6	4022.4	4036.4	3435.4	3469.3
Clpp	1233.9	1159.2	1428.4	1439.5	938.2	964.8
Alkbh7	324	324.2	290.5	287.9	260.2	252.2
Dennd1c	732.5	759	674.7	867.6	885.3	1025.7
Med6	688.9	671.9	690.5	667.8	691.4	691.9
Lcp2	17.6	13.1	53.8	38.2	85	164.4
Cse1l	9689.2	9295.7	11071.4	11070.1	8902.7	9335.8
Naa20	1661.9	1545.2	1965.7	1754.8	1961.3	2045.3
Prkra	665.7	690.6	525.3	616.9	632.4	488.5
Fkbp7	103.1	97.5	97.5	95	77.7	58.5
Plekha3	978.6	1017.7	1079.4	1037	1015.9	1023.2
Ykt6	4090.7	3969.4	4040	4217.5	3440.6	3474.1
Baz1b	16114.1	16692.9	16299.4	16652.6	18205.5	19169.9
Pex6	1843.9	2206.8	1682.7	2080.8	1711.5	1695.7
Mrpl2	1905.2	1708.3	2114.2	2071.1	1788.2	1939.3
Mea1	1062.1	1051.4	1239.9	1173.1	1058.4	992.8
Kdelr1	3205	3417.5	2969.9	3134.5	2589.5	2560.5
Tmem143	401.1	471.3	380.5	455.3	424	459.2
Ggct	99.3	95.6	161.5	179.2	103.7	148.6
Jag2	1313.7	1034.5	483.5	352.5	189.7	216.8
Btbd6	207	231.5	252.4	227.2	174.2	145
Nudt14	571.9	551.9	498.4	470	346.2	319.2
Flii	5109.2	5659.9	5732.9	5822.5	6179.4	6489
Top3a	1561.6	1604.3	1397.7	1432.6	1331.1	1336.3
Atg4d	831.9	871.5	890.1	921.4	981.7	951.4
Qtrt1	1061.2	1078.6	998.6	1058.5	626.1	665.1
Hdgfrp2	3549.4	3321	3657.7	3542.8	3616.9	3678.8
Chaf1a	5320	5130.5	5838.7	5613.9	5740.9	6229.6
Adprh	2788.1	2726.9	2801	2636.1	2957.5	2852.9
Tmem39a	1447.4	1434.7	1282.6	1428.7	1098.8	1174.3
Timmdc1	667.6	706.6	724.8	739.3	618.9	682.2
Mcm2	14583.1	13930.5	17404.7	16113.1	14195.8	15196.3
Tpra1	901.5	901.5	909.5	958.7	1196.3	1097.5
Nab1	2537.4	2522.6	3230.7	2760.4	3125.5	3320.7
Adgre5	187.5	268.9	132.7	139	619.9	489.7
Il17ra	7268.8	7020.5	8934.9	7886.7	10218.2	11047.3
Arrdc2	568.2	573.5	445.5	507.2	417.8	382.5
Map2k7	1903.3	1959.4	1705.9	1918.3	1856.6	1833.3
Timm44	3325.7	3315.4	3749.5	3493.9	2917.1	2902.8
Ap2a2	3346.1	3343.5	3367.2	3455.7	3641.7	4022.3
Pnkp	1231.1	1208.8	1372.7	1291.6	1113.4	1080.5
Med25	3202.2	3265.7	2989.4	3262.8	2530.4	2904
Clptm1	4061.9	3831.7	4414.1	4528.9	4239.9	4364.6
Relb	326.8	309.2	289.6	242.8	269.5	268
Tomm40	4333	4038.8	5305	5019.5	3751.6	3894.4
Apoe	482.8	404.8	530.9	441.6	543.2	570.1
Hbp1	2887.5	3161.7	1718.9	2035.8	1855.6	1637.2
Prkar2b	1141.1	1146	1467.3	1407.1	1400.5	1660.3
Cdkn1b	1334.2	1586.5	1564.8	1589.3	5060.9	4363.4
Klf4	1071.4	1117	1003.3	898.9	151.4	141.3
Ap1m1	3736.1	3840.1	4131	4376.1	5197.7	5192.9
Rab8a	4281.1	4008.8	4423.3	4374.2	5710.9	5597.4
Hmgn2	18526.2	17679.7	19837.3	19373.9	21517.6	20949.6
Fam32a	3401.8	2962.1	3338.4	2739.9	2901.6	3222
Stard3nl	690.8	708.4	691.4	784.4	646.9	711.4
Stk11	5316.3	5303.8	5490.7	5236.9	6573.4	6521.9
Atp5d	6624.4	6037.5	7297.7	6881	6155.6	6350.2
Ppp5c	5447.2	5149.2	5807.2	5684.4	4997.7	5017.5
Cdk12	3305.3	3452.2	3424.7	3310.7	3783.8	3850.5
Lipe	189.4	218.3	227.4	347.6	211.5	191.2
Pafah1b2	6182.5	3138.2	6317.6	3172.7	5420.6	2988.1
Tbc1d8	270.2	345.8	115.1	138.1	25.9	41.4
Cnot11	1974.8	1944.4	2085.5	2100.4	2038	2145.1
Slc2a3	1855	2035.3	2263.6	2038.7	1813.1	1665.2
Foxj2	411.3	464.8	492.8	480.8	716.3	620
Sri	2047.2	1874.1	2115.2	1802.7	2594.7	2583.7
Dgcr2	2820.6	3061.4	2563.4	2733	2707.7	2777.4
Irf3	2725.9	2850.6	2991.3	2825.1	2683.9	2712.8
Bcl2l12	1056.6	1139.5	1201.9	1167.2	1536.3	1442.3
Zfp959	443.8	435.7	392.6	418.1	598.1	505.5
Mpnd	2500.3	2619.1	2602.4	2628.2	3378.4	3334
Sh3gl1	2794.6	2690.3	2509.6	2596.9	2649.7	2765.2
Ccdc94	558	551.9	585.6	602.2	558.8	557.9
Ranbp2	15443.7	16171.9	15310.9	16186.5	14277.7	15185.3
Grk5	38.1	57.2	76.1	63.6	403.3	453.1
Dvl3	1407.5	1504	1351.3	1472.7	1327.9	1204.7
Abcf3	1858.7	1883.5	1769.9	1964.3	1745.7	1832.1
Eif2b5	4334	4319.9	5119.4	4950	4589.2	4713
Cyth2	1955.3	1989.4	1743.9	2026	1879.4	1890.6
Plag1	423.4	460.1	353.6	388.8	512.1	462.9
Hck	1628.5	1237.9	832.5	602.2	13.5	19.5
Mrpl4	2069.5	1946.3	2401.9	2232.6	1939.6	2151.2
Keap1	3041.6	3139.2	2852.1	3002.3	2468.2	2344.9
Glg1	5320	5697.4	5592.8	5610.9	6559.9	6246.6
Btbd2	1200.5	1300.7	912.3	1149.6	855.2	868.5
Csnk1g2	7772	7563.1	7239.2	6979.9	9006.4	8741.4
Abhd17a	3010.9	2893.7	2942.1	2719.3	2621.7	2766.4
Mob3a	1635.9	1731.7	1787.5	1983.9	1676.3	1829.6
Ddx23	5371	5363.8	5509.2	5511.1	5541.9	5515.7
Pld3	838.4	815.3	508.6	678.6	513.1	436.1
Grik5	90.1	98.4	81.7	99.9	171	145
Cd79a	870	415.1	1946.2	1614.7	22068.1	22665.9
Rabac1	937.7	971.7	1016.3	1064.4	1530.1	1435
Etv3	2983.1	3403.4	2245.1	2495.1	3430.3	3600.8
Prkcsh	5530.7	5737.7	5515.7	5796	4207.7	4150.2
Nosip	2138.2	2150.6	2324.9	2308	1890.8	1930.8
Pih1d1	1464.2	1411.2	1523.9	1533.5	1382.9	1415.5
Rps11	27542.3	27048.5	29430.2	28479.7	33931.4	35952.2
Supt5	9656.7	9655.6	9811.9	9491.6	8823.9	9073.9
Paf1	3602.4	3313.5	3078.5	3054.2	2220.5	2302.3
Timm50	3344.3	3171	3598.3	3483.1	3091.3	3464.4
Med29	408.5	423.6	474.3	437.7	341.1	375.2
Ncstn	3916.2	3969.4	3641.9	3701.5	3698.7	3589.9
Pex19	3028.6	2989.3	2918.9	2831.9	3414.7	3358.4
Cyp4f18	142.1	96.5	338.8	263.4	4910.6	5330.6
Impdh1	17198.5	15705.3	11467.7	10098.7	14006.1	13147.4
Dusp3	193.1	251.1	237.6	256.6	321.4	377.6
Prodh	305.5	425.4	170.8	218.4	14.5	20.7
Dgcr14	1311.9	1417.8	1281.7	1388.5	1241.9	1338.7
Slc25a1	11704	11665.6	9858.3	9255.6	6246.8	7128.6
Dgcr6	450.3	541.6	414.9	508.2	383.6	382.5
Ier3	310.1	243.6	570.8	418.1	169	135.2
Fosb	11.1	9.4	1673.4	694.3	854.2	310.6
Klc4	659.2	730.9	485.4	497.4	583.6	592
Ercc1	652.7	563.2	633	615	690.4	660.2
Homer3	1544	1612.7	1329	1374.8	1494.8	1477.6
Crtc1	1762.2	1817.9	1393.1	1631.4	1367.3	1656.7
Rnf215	406.7	439.5	359.2	370.1	379.4	298.4
Aven	1148.5	1102.9	1255.7	1268.1	803.4	830.8
Crot	1531	1581.8	1205.6	1475.7	1493.8	1459.3
Rps6ka1	4926.3	4905.6	5255.9	5704.9	2022.5	2393.6
Snrnp200	12056.8	13011.2	13879.8	14372	13627.7	15175.6
